time,n_trips,avg_miles,avg_duration[s]
1326283200,22382.0,2.4207132,697.02875
1326286800,22217.0,2.6008594,702.00946
1326290400,24307.0,2.7287252,730.33594
1326294000,24382.0,2.7132368,733.9242
1326297600,20316.0,2.729738,703.2277
1326301200,24770.0,2.5466888,712.7406
1326304800,31573.0,2.419164,689.18066
1326308400,32558.0,2.5688493,642.4639
1326312000,29700.0,2.7959046,625.3704
1326315600,28836.0,2.9706593,639.4364
1326319200,29519.0,2.9125962,671.5468
1326322800,23440.0,3.0770917,696.21234
1326326400,15421.0,3.121366,677.10565
1326330000,9111.0,3.3586292,654.95654
1326333600,5545.0,3.2303803,635.50604
1326337200,3534.0,3.4507911,654.45416
1326340800,2819.0,4.3914022,706.569
1326344400,4491.0,3.9706304,623.9795
1326348000,13605.0,2.9353623,603.71204
1326351600,24806.0,2.5171497,703.54834
1326355200,29421.0,2.2926304,789.12573
1326358800,27778.0,2.1965737,781.635
1326362400,22667.0,2.3784714,743.4316
1326366000,23479.0,2.3981714,752.7036
1326369600,24146.0,2.384634,738.8545
1326373200,22216.0,2.6483867,725.6075
1326376800,24459.0,2.7634294,746.822
1326380400,24138.0,2.738157,767.1764
1326384000,19770.0,2.8832483,769.1703
1326387600,24949.0,2.4789877,742.63403
1326391200,31519.0,2.472895,750.0619
1326394800,32740.0,2.548108,675.89496
1326398400,30929.0,2.8331535,675.635
1326402000,30052.0,3.011074,687.1272
1326405600,29077.0,3.0776956,685.1459
1326409200,24651.0,3.311406,685.4771
1326412800,18136.0,3.2967396,670.5043
1326416400,12887.0,3.3212366,667.10187
1326420000,7590.0,3.2894874,632.70514
1326423600,5141.0,3.5427518,645.0325
1326427200,3940.0,4.547631,699.65936
1326430800,4491.0,4.8900476,679.2075
1326434400,11841.0,3.3256633,603.38403
1326438000,22774.0,2.7344334,655.98865
1326441600,28805.0,2.5303526,725.9129
1326445200,28149.0,2.3257508,742.5209
1326448800,24044.0,2.374713,711.6816
1326452400,24013.0,2.4827237,719.1536
1326456000,25546.0,2.452793,701.41284
1326459600,26169.0,2.5444942,676.378
1326463200,27774.0,2.6880367,743.5422
1326466800,25606.0,2.684753,779.6056
1326470400,21081.0,2.8064544,790.06604
1326474000,25457.0,2.6429992,813.1363
1326477600,32412.0,2.4677422,738.2603
